title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Subnautica: Below Zero ,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2021-05-14,"PC,  Xbox Series X|S,  Nintendo Switch,  PlayStation 4,  PlayStation 5,  Xbox One","Action,  Adventure",9,Leana Hafer
Resident Evil Village ,Capcom,Capcom,2021-05-07,"PlayStation 5,  Xbox Series X|S,  PC,  PlayStation 4,  Xbox One,  Stadia","Action,  Horror",8,Tristan Ogilvie
Returnal ,"XDev Studios Europe,  Housemarque",Sony Interactive Entertainment,2021-04-30,PlayStation 5,"Shooter,  Third-Person,  Roguelike / Rogue-Lite",8,Mitchell Saltzman
Total War: Rome Remastered ,"Creative Assembly,  Feral Interactive","SEGA, Feral Interactive",2021-04-29,"PC,  Macintosh,  Linux",Strategy,7,Leana Hafer
New Pokémon Snap ,Bandai Namco Studios,"Nintendo, The Pokemon Company",2021-04-30,Nintendo Switch,Action,8,Rebekah Valentine
MotoGP 21 ,Milestone,Milestone,2021-04-22,"PC,  Nintendo Switch,  Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  Stadia",Racing,7,Luke Reilly
NieR Replicant Ver. 1.22474487139 ,"Cavia,  Toylogic",Square Enix,2021-04-22,"PlayStation 4,  Xbox One,  PC","Action,  RPG",8,Mitchell Saltzman
MLB The Show 21 ,SIE San Diego Studio,"Sony Interactive Entertainment, MLB",2021-04-20,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4",Sports,8,Gabriel Moss
Outriders ,People Can Fly,Square Enix,2021-04-01,"Stadia,  Xbox Series X|S,  PlayStation 5,  Xbox One,  PlayStation 4,  PC",Shooter,7,Jon Ryan
Pac-Man 99 ,Bandai Namco Games,Bandai Namco Games,2021-04-08,Nintendo Switch,"Action,  Battle Royale",7,Seth G. Macy
Oddworld: Soulstorm ,"Frima Studios,  Oddworld Inhabitants",Oddworld Inhabitants,2021-04-05,"PlayStation 4,  PC,  PlayStation 5,  Xbox Series X|S,  Xbox One",Adventure,7,Travis Northup
Magic Legends Open Beta ,Cryptic Studios,Perfect World Entertainment,2021-03-23,PC,RPG,5,David Jagneaux
Doom 3: VR Edition ,"Id Software,  Archiact Interactive",Bethesda  Softworks,2021-03-28,PlayStation 4,"Shooter,  First-Person,  VR",5,Gabriel Moss
